methodId,methodName,category,route,formulaDisplay,requiredInputs,optionalInputs,outputUnits,confidenceLabel,limitation,sourceNote,implementationStatus,relatedModules
mtd_101,Shoe Mileage Accumulation,Gear,/gear,shoeDistance = Σ runDistanceAssignedToShoe,runDistances,,km | miles,Formula,Requires user to assign runs manually; no automatic guarantee of shoe condition.,Core gear tracking arithmetic.,readyForImplementation,Gear Calculator
mtd_102,Cost per Kilometer,Gear,/gear,costPerKm = shoeCost / shoeDistanceKm,shoeCost | shoeDistanceKm,,currency/km,Formula,Economic metric only; not durability prediction.,Core gear arithmetic.,readyForImplementation,Gear Calculator
mtd_103,Shoe Retirement Threshold Progress,Gear,/gear,progress% = shoeDistance / userRetirementThreshold × 100,shoeDistance | userRetirementThreshold,,percent,User-Defined,"Threshold must be user-defined; wear depends on runner, surface, shoe, and mechanics.",Manual gear tracking metric.,readyForImplementation,Gear Calculator
mtd_104,Simple Running Energy Cost,Metabolic Estimate,/energy,kcal ≈ bodyWeight_kg × distance_km,bodyWeight_kg | distance_km,,kcal,Rough Estimate,"Very rough estimate; ignores pace, grade, economy, wind, and individual variation.",Common rough running energy heuristic.,readyForImplementation,Energy Calculator
mtd_105,Power-to-Weight Ratio,Power,/power,powerToWeight = power_watts / bodyWeight_kg,power_watts | bodyWeight_kg,,W/kg,Formula,Requires real power input from device or manual entry; do not generate fake power.,Core power arithmetic.,readyForImplementation,Power Calculator
mtd_106,Running Power Pace Efficiency,Power,/power,efficiency = speed_m_s / power_watts or power_watts / speed_m_s,speed_m_s | power_watts,,m/s/W | W per m/s,Device-Dependent,Device power is model-dependent and not directly comparable across brands.,Descriptive power efficiency metric.,readyForImplementation,Power Calculator
mtd_107,Weekly Distance Sum,Planning,/planner,weeklyDistance = Σ runDistances,runDistances,,km | miles,Formula,Only sums entered/planned runs; not a coaching recommendation.,Core planning arithmetic.,readyForImplementation,Planner | Load Lab
mtd_108,Weekly Duration Sum,Planning,/planner,weeklyDuration = Σ runDurations,runDurations,,minutes | hours,Formula,Only sums entered/planned runs.,Core planning arithmetic.,readyForImplementation,Planner | Load Lab
mtd_109,Long Run Share of Weekly Distance,Planning,/planner,longRunShare% = longRunDistance / weeklyDistance × 100,longRunDistance | weeklyDistance,,percent,Descriptive Metric,Descriptive only; does not decide whether the plan is safe.,Planning summary metric.,readyForImplementation,Planner | Load Lab
mtd_110,Hard Session Count,Planning,/planner,hardSessionCount = count(sessions tagged moderate/high intensity),sessionIntensityTags,,count,Descriptive Metric,Tagging must be manual/deterministic; no AI interpretation.,Planning summary metric.,readyForImplementation,Planner | Workout Library
